# x  V_Rectangulos  V_Trapecio  V_Simpson
-1.3065326633e-01 6.7804669605e+00 6.7804669605e+00 6.7804669605e+00
-1.1055276382e-01 6.7697280631e+00 6.7697280631e+00 6.7697280631e+00
-9.0452261307e-02 6.7608387043e+00 6.7608387043e+00 6.7608387043e+00
-7.0351758794e-02 6.7537658682e+00 6.7537658682e+00 6.7537658682e+00
-5.0251256281e-02 6.7484835852e+00 6.7484835852e+00 6.7484835852e+00
-3.0150753769e-02 6.7449726319e+00 6.7449726319e+00 6.7449726319e+00
-1.0050251256e-02 6.7432203117e+00 6.7432203117e+00 6.7432203117e+00
1.0050251256e-02 6.7432203117e+00 6.7432203117e+00 6.7432203117e+00
3.0150753769e-02 6.7449726319e+00 6.7449726319e+00 6.7449726319e+00
5.0251256281e-02 6.7484835852e+00 6.7484835852e+00 6.7484835852e+00
7.0351758794e-02 6.7537658682e+00 6.7537658682e+00 6.7537658682e+00
9.0452261307e-02 6.7608387043e+00 6.7608387043e+00 6.7608387043e+00
1.1055276382e-01 6.7697280631e+00 6.7697280631e+00 6.7697280631e+00
1.3065326633e-01 6.7804669605e+00 6.7804669605e+00 6.7804669605e+00
1.5075376884e-01 6.7930958470e+00 6.7930958470e+00 6.7930958470e+00
1.7085427136e-01 6.8076630940e+00 6.8076630940e+00 6.8076630940e+00
1.9095477387e-01 6.8242255908e+00 6.8242255908e+00 6.8242255908e+00
2.1105527638e-01 6.8428494668e+00 6.8428494668e+00 6.8428494668e+00
2.3115577889e-01 6.8636109605e+00 6.8636109605e+00 6.8636109605e+00
2.5125628141e-01 6.8865974582e+00 6.8865974582e+00 6.8865974582e+00
2.7135678392e-01 6.9119087352e+00 6.9119087352e+00 6.9119087352e+00
2.9145728643e-01 6.9396584375e+00 6.9396584375e+00 6.9396584375e+00
3.1155778894e-01 6.9699758530e+00 6.9699758530e+00 6.9699758530e+00
3.3165829146e-01 7.0030080359e+00 7.0030080359e+00 7.0030080359e+00
3.5175879397e-01 7.0389223623e+00 7.0389223623e+00 7.0389223623e+00
3.7185929648e-01 7.0779096201e+00 7.0779096201e+00 7.0779096201e+00
3.9195979899e-01 7.1201877647e+00 7.1201877647e+00 7.1201877647e+00
4.1206030151e-01 7.1660065144e+00 7.1660065144e+00 7.1660065144e+00
4.3216080402e-01 7.2156530122e+00 7.2156530122e+00 7.2156530122e+00
4.5226130653e-01 7.2694588598e+00 7.2694588598e+00 7.2694588598e+00
4.7236180905e-01 7.3278089351e+00 7.3278089351e+00 7.3278089351e+00
4.9246231156e-01 7.3911525562e+00 7.3911525562e+00 7.3911525562e+00
5.1256281407e-01 7.4600177770e+00 7.4600177770e+00 7.4600177770e+00
5.3266331658e-01 7.5350299188e+00 7.5350299188e+00 7.5350299188e+00
5.5276381910e-01 7.6169359319e+00 7.6169359319e+00 7.6169359319e+00
5.7286432161e-01 7.7066369208e+00 7.7066369208e+00 7.7066369208e+00
5.9296482412e-01 7.8052323377e+00 7.8052323377e+00 7.8052323377e+00
6.1306532663e-01 7.9140812356e+00 7.9140812356e+00 7.9140812356e+00
6.3316582915e-01 8.0348891197e+00 8.0348891197e+00 8.0348891197e+00
6.5326633166e-01 8.1698343674e+00 8.1698343674e+00 8.1698343674e+00
6.7336683417e-01 8.3217579707e+00 8.3217579707e+00 8.3217579707e+00
6.9346733668e-01 8.4944588220e+00 8.4944588220e+00 8.4944588220e+00
7.1356783920e-01 8.6931737089e+00 8.6931737089e+00 8.6931737089e+00
7.3366834171e-01 8.9254003590e+00 8.9254003590e+00 8.9254003590e+00
7.5376884422e-01 9.2024067568e+00 9.2024067568e+00 9.2024067568e+00
7.7386934673e-01 9.5422515262e+00 9.5422515262e+00 9.5422515262e+00
7.9396984925e-01 9.9765911212e+00 9.9765911212e+00 9.9765911212e+00
8.1407035176e-01 1.0568925175e+01 1.0568925175e+01 1.0568925175e+01
8.3417085427e-01 1.1479592756e+01 1.1479592756e+01 1.1479592756e+01
8.5427135678e-01 1.3395056822e+01 1.3395056819e+01 1.3395060187e+01
8.7437185930e-01 1.3972714937e+01 1.3972714116e+01 1.3972921398e+01
8.9447236181e-01 1.1441436379e+01 1.1441436379e+01 1.1441436379e+01
9.1457286432e-01 1.0308236474e+01 1.0308236474e+01 1.0308236474e+01
9.3467336683e-01 9.5594528090e+00 9.5594528090e+00 9.5594528090e+00
9.5477386935e-01 8.9958799219e+00 8.9958799219e+00 8.9958799219e+00
9.7487437186e-01 8.5422822390e+00 8.5422822390e+00 8.5422822390e+00
9.9497487437e-01 8.1619152822e+00 8.1619152822e+00 8.1619152822e+00
1.0150753769e+00 7.8340131500e+00 7.8340131500e+00 7.8340131500e+00
1.0351758794e+00 7.5456629234e+00 7.5456629234e+00 7.5456629234e+00
1.0552763819e+00 7.2882707348e+00 7.2882707348e+00 7.2882707348e+00
1.0753768844e+00 7.0558185419e+00 7.0558185419e+00 7.0558185419e+00
1.0954773869e+00 6.8439216982e+00 6.8439216982e+00 6.8439216982e+00
1.1155778894e+00 6.6492824943e+00 6.6492824943e+00 6.6492824943e+00
1.1356783920e+00 6.4693552429e+00 6.4693552429e+00 6.4693552429e+00
1.1557788945e+00 6.3021315601e+00 6.3021315601e+00 6.3021315601e+00
1.1758793970e+00 6.1459974641e+00 6.1459974641e+00 6.1459974641e+00
1.1959798995e+00 5.9996352245e+00 5.9996352245e+00 5.9996352245e+00
1.2160804020e+00 5.8619541037e+00 5.8619541037e+00 5.8619541037e+00
1.2361809045e+00 5.7320403300e+00 5.7320403300e+00 5.7320403300e+00
1.2562814070e+00 5.6091202161e+00 5.6091202161e+00 5.6091202161e+00
1.2763819095e+00 5.4925324739e+00 5.4925324739e+00 5.4925324739e+00
1.2964824121e+00 5.3817070959e+00 5.3817070959e+00 5.3817070959e+00
1.3165829146e+00 5.2761490139e+00 5.2761490139e+00 5.2761490139e+00
1.3366834171e+00 5.1754252883e+00 5.1754252883e+00 5.1754252883e+00
1.3567839196e+00 5.0791549479e+00 5.0791549479e+00 5.0791549479e+00
1.3768844221e+00 4.9870008449e+00 4.9870008449e+00 4.9870008449e+00
1.3969849246e+00 4.8986630622e+00 4.8986630622e+00 4.8986630622e+00
1.4170854271e+00 4.8138735282e+00 4.8138735282e+00 4.8138735282e+00
1.4371859296e+00 4.7323915825e+00 4.7323915825e+00 4.7323915825e+00
1.4572864322e+00 4.6540002966e+00 4.6540002966e+00 4.6540002966e+00
1.4773869347e+00 4.5785033992e+00 4.5785033992e+00 4.5785033992e+00
1.4974874372e+00 4.5057226898e+00 4.5057226898e+00 4.5057226898e+00
1.5175879397e+00 4.4354958504e+00 4.4354958504e+00 4.4354958504e+00
1.5376884422e+00 4.3676745826e+00 4.3676745826e+00 4.3676745826e+00
1.5577889447e+00 4.3021230136e+00 4.3021230136e+00 4.3021230136e+00
1.5778894472e+00 4.2387163264e+00 4.2387163264e+00 4.2387163264e+00
1.5979899497e+00 4.1773395749e+00 4.1773395749e+00 4.1773395749e+00
1.6180904523e+00 4.1178866566e+00 4.1178866566e+00 4.1178866566e+00
1.6381909548e+00 4.0602594176e+00 4.0602594176e+00 4.0602594176e+00
1.6582914573e+00 4.0043668684e+00 4.0043668684e+00 4.0043668684e+00
1.6783919598e+00 3.9501244968e+00 3.9501244968e+00 3.9501244968e+00
1.6984924623e+00 3.8974536615e+00 3.8974536615e+00 3.8974536615e+00
1.7185929648e+00 3.8462810561e+00 3.8462810561e+00 3.8462810561e+00
1.7386934673e+00 3.7965382335e+00 3.7965382335e+00 3.7965382335e+00
1.7587939698e+00 3.7481611838e+00 3.7481611838e+00 3.7481611838e+00
1.7788944724e+00 3.7010899561e+00 3.7010899561e+00 3.7010899561e+00
1.7989949749e+00 3.6552683216e+00 3.6552683216e+00 3.6552683216e+00
1.8190954774e+00 3.6106434706e+00 3.6106434706e+00 3.6106434706e+00
1.8391959799e+00 3.5671657404e+00 3.5671657404e+00 3.5671657404e+00
1.8592964824e+00 3.5247883699e+00 3.5247883699e+00 3.5247883699e+00
1.8793969849e+00 3.4834672778e+00 3.4834672778e+00 3.4834672778e+00
1.8994974874e+00 3.4431608622e+00 3.4431608622e+00 3.4431608622e+00
1.9195979899e+00 3.4038298183e+00 3.4038298183e+00 3.4038298183e+00
1.9396984925e+00 3.3654369732e+00 3.3654369732e+00 3.3654369732e+00
1.9597989950e+00 3.3279471349e+00 3.3279471349e+00 3.3279471349e+00
1.9798994975e+00 3.2913269551e+00 3.2913269551e+00 3.2913269551e+00
2.0000000000e+00 3.2555448032e+00 3.2555448032e+00 3.2555448032e+00
